,Ang. Edge East,Ang. Edge West,Ang. Plane FUPT,ConeRad1,ConeRad2,G:S,Ge,Gw,HeightEast,HeightWest,Latitude,Longitude,ObjID,Se,Site,Sw,WidthBB,WidthBF,WidthMF,WidthTB,WidthTF,aver. Width type,aver. Height,aver. Height type,aver. Width,cal. Lat. Edge East,cal. Lat. Edge West,cal. Lat. FUPT,opening Angle,opening Width
11,50.4339,50.4339,50.4339,119.028,119.081,1 : 0.826276,146.71,147.812,234.094,233.287,37.39,25.26,135,121.223,Delos,122.134,263.766,266.48,264.92,264.319,268.467,calculated,233.691,calculated,265.59,39.5661,39.5661,39.5661,35.8189,224.437
12,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,37.39,25.26,461,unknown,Delos,unknown,unknown,unknown,unknown,320.431,unknown,calculated,4.03457,minimal,320.431,unknown,unknown,unknown,33.316,unknown
13,unknown,53.217,53.217,158.065,158.331,1 : 0.747633,unknown,unknown,unknown,unknown,37.39,25.26,463,unknown,Delos,unknown,unknown,unknown,unknown,unknown,unknown,unknown,74.3207,minimal,unknown,unknown,36.783,36.783,27.9315,283.02
14,50.3313,50.3313,50.3313,unknown,unknown,1 : 0.829294,unknown,unknown,unknown,unknown,31.2011,29.8994,188,unknown,Alexandria,unknown,unknown,unknown,unknown,443.075,443.645,calculated,421.398,minimal,443.36,39.6687,39.6687,39.6687,unknown,unknown
15,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,210,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,75.9129,minimal,unknown,unknown,unknown,unknown,28.7757,unknown
16,81.9774,81.9774,81.9774,187.797,213.252,1 : 0.140943,unknown,unknown,unknown,unknown,16.7031,33.9817,191,unknown,Basa,unknown,unknown,unknown,unknown,482.211,486.631,calculated,unknown,unknown,484.421,8.0226,8.0226,8.0226,25.2212,370.657
17,47.0416,47.0416,47.0416,157.56,167.779,1 : 0.931159,248.055,251.259,434.176,433.396,40.7508,14.4849,174,230.979,Pompei,233.962,360.392,359.056,358.703,358.335,356.675,calculated,433.786,calculated,358.632,42.9584,42.9584,42.9584,25.2022,264.211
18,45.8219,45.8219,45.8219,183.459,189.183,1 : 0.971714,180.176,180.022,271.749,276.883,40.7503,14.4871,175,175.08,Pompei,174.93,257.299,255.571,258.553,262.023,259.393,calculated,274.316,calculated,258.568,44.1781,44.1781,44.1781,7.88643,366.898
19,45.8219,45.8219,45.8219,116.859,117.339,1 : 0.971714,180.176,180.022,271.749,276.883,unknown,unknown,499,175.08,unknown,174.93,257.299,255.571,258.553,262.023,259.393,calculated,274.316,calculated,258.568,44.1781,44.1781,44.1781,33.9772,206.222
20,unknown,unknown,unknown,176.912,194.123,unknown,unknown,unknown,unknown,unknown,unknown,unknown,500,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,11.3287,unknown
21,44.7292,44.7292,44.7292,144.042,144.273,1 : 1.0095,195.219,191.446,308.649,308.263,40.7523,14.485,166,197.073,Pompei,193.265,330.853,329.243,330.505,331.24,329.077,calculated,308.456,calculated,330.184,45.2708,45.2708,45.2708,35.7037,246.853
22,unknown,unknown,unknown,244.311,260.681,unknown,unknown,unknown,unknown,unknown,40.7503,14.4871,168,unknown,Pompei,unknown,unknown,unknown,unknown,unknown,unknown,estimated,unknown,unknown,574.742,unknown,unknown,unknown,21.4769,unknown
23,50.013,50.013,50.013,130.032,130.486,1 : 0.838713,unknown,unknown,312.54,321.404,40.7503,14.4871,170,unknown,Pompei,unknown,317.162,unknown,unknown,318.367,319.45,calculated,316.972,calculated,318.326,39.987,39.987,39.987,44.9737,260.118
24,47.419,unknown,47.591,unknown,unknown,1 : 0.913414,unknown,unknown,164.814,unknown,40.7503,14.4871,171,unknown,Pompei,unknown,unknown,unknown,unknown,unknown,unknown,estimated,164.814,calculated,297.724,42.581,unknown,42.409,7.24539,unknown
25,64.5378,unknown,64.5378,149.701,196.845,1 : 0.476166,unknown,unknown,unknown,unknown,40.7503,14.4871,298,unknown,Pompei,unknown,unknown,unknown,unknown,unknown,unknown,estimated,178.207,minimal,348.905,25.4622,unknown,25.4622,5.61594,295.604
26,47.3547,47.3547,47.3547,147.956,151.049,1 : 0.921007,unknown,unknown,unknown,unknown,40.7503,14.4871,498,unknown,Pompei,unknown,unknown,unknown,unknown,unknown,325.815,calculated,191.342,minimal,325.815,42.6453,42.6453,42.6453,32.1839,230.642
27,48.6794,48.6794,48.6794,159.56,159.917,1 : 0.879159,258.366,256.105,unknown,unknown,40.703,14.4988,438,227.145,Stabiae,225.157,unknown,unknown,445.977,447.435,445.377,calculated,386.553,minimal,446.263,41.3206,41.3206,41.3206,21.8982,254.991
28,62.9852,62.9852,62.9852,209.127,211.323,1 : 0.509851,179.608,297.575,unknown,unknown,unknown,unknown,179,91.5732,unknown,151.719,unknown,unknown,465.865,469.437,488.927,calculated,436.714,minimal,474.743,27.0148,27.0148,27.0148,33.738,417.882
29,63.715,64.36,63.733,136.429,137.075,1 : 0.493514,95.5066,80.0909,unknown,unknown,unknown,unknown,180,47.1339,unknown,39.526,unknown,unknown,262.522,232.454,265.867,calculated,120.762,minimal,253.614,26.285,25.64,26.267,0.193387,unknown
30,66.1205,66.1205,66.1205,181.769,213.861,1 : 0.442711,332.044,287.57,unknown,unknown,unknown,unknown,181,146.999,unknown,127.311,unknown,unknown,443.702,unknown,441.053,calculated,486.652,minimal,442.378,23.8795,23.8795,23.8795,13.3591,355.743
31,51.4956,51.4956,51.4956,192.485,194.463,1 : 0.795561,263.562,246.,unknown,unknown,41.846,12.8949,186,209.679,Palestrina,195.708,unknown,unknown,421.838,unknown,415.668,calculated,421.016,minimal,418.753,38.5044,38.5044,38.5044,25.7336,344.969
32,58.6284,58.6284,58.6284,131.245,137.768,1 : 0.609722,unknown,unknown,unknown,unknown,34.7077,32.574,32,unknown,Paphos,unknown,unknown,unknown,unknown,344.252,323.503,calculated,338.291,minimal,333.878,31.3716,31.3716,31.3716,0.764394,unknown
